directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,formatting_check_result_1,formatting_check_evidence_snippet_1,formatting_check_result_2,formatting_check_evidence_snippet_2,formatting_check_result_3,formatting_check_evidence_snippet_3,formatting_check_result_best,formatting_check_evidence_snippet_best,anonymity_check_result_1,anonymity_check_evidence_snippet_1,anonymity_check_result_2,anonymity_check_evidence_snippet_2,anonymity_check_result_3,anonymity_check_evidence_snippet_3,anonymity_check_result_best,anonymity_check_evidence_snippet_best,policy_check_result_1,policy_check_evidence_snippet_1,policy_check_result_2,policy_check_evidence_snippet_2,policy_check_result_3,policy_check_evidence_snippet_3,policy_check_result_best,policy_check_evidence_snippet_best,scope_check_result_1,scope_check_evidence_snippet_1,scope_check_result_2,scope_check_evidence_snippet_2,scope_check_result_3,scope_check_evidence_snippet_3,scope_check_result_best,scope_check_evidence_snippet_best,token_error_occurred
data/iclr/data/submission_eJVrwDE086,1.0,1.0,0.7013024377508044,50754,1953,66.66050887107849,,,False,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 10, inclusive, which is exactly 10 pages. This falls within the allowed page limit of 6-10 pages. All pages include line numbers in the left margin. Visual inspection of the document's margins, font sizes, and spacing for main body text, headings, figures, and tables indicates adherence to the ICLR 2025 style guide specifications. No explicit Ethics Statement or Reproducibility Statement sections were found to assess against a page limit.",False,"The main content (Abstract through Conclusion) spans exactly 10 pages, which is within the allowed limit of 6-10 pages. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing for the main body text and headings indicates adherence to the ICLR 2025 style guide. No extensive use of smaller fonts or reduced spacing was detected outside of acceptable areas like figure captions, footnotes, or the references section. No Ethics Statement or Reproducibility Statement sections were found to evaluate against a page limit.",False,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing throughout the document (including headings, abstract, figures, and tables) indicates adherence to the ICLR 2025 style guide. No explicit Ethics Statement or Reproducibility Statement sections were found.",False,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing throughout the document (including headings, abstract, figures, and tables) indicates adherence to the ICLR 2025 style guide. No explicit Ethics Statement or Reproducibility Statement sections were found.",True,The work was done while Razvan-Gabriel Dumitru interned at ServiceNow.,,,,,True,The work was done while Razvan-Gabriel Dumitru interned at ServiceNow.,False,,,,,,False,,False,,,,,,False,,False
data/iclr/data/submission_zebxJxSHcD,1.0,1.0,1.0,83057,2247,71.28948760032654,,,False,"The main paper (main_paper.pdf) adheres to all specified formatting and layout guidelines. Line numbers are present on all pages. The main content (Abstract through Conclusion/Discussion) spans 10 pages, which is within the 6-10 page limit. There are no Ethics or Reproducibility Statements exceeding 1 page. Visual inspection confirms correct margins, font sizes, paragraph spacing, and heading styles as per the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body text.",False,"The document adheres to all specified formatting and layout guidelines. The main content (Abstract through Conclusion) is exactly 10 pages, which falls within the 6-10 page limit. Line numbers are present on all pages. There are no explicit Ethics or Reproducibility statements that exceed page limits. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, and no 'space-cheating' techniques (like extensive use of \small or \footnotesize for main text, or \vspace abuse) were detected in the provided PDF or LaTeX source.",False,"The main content of the paper (Abstract through Conclusion/Discussion) spans exactly 10 pages, which is within the allowed limit of 6 to 10 pages. Line numbers are present on all pages. Visual inspection of the document indicates that font sizes, line spacing, and margins adhere to the ICLR 2025 style guide specifications, with no apparent 'space-cheating' or extensive use of small fonts outside of acceptable areas like figures, tables, or footnotes. No explicit Ethics Statement or Reproducibility Statement sections were found to evaluate against a page limit.",False,"The main content of the paper (Abstract through Conclusion/Discussion) spans exactly 10 pages, which is within the allowed limit of 6 to 10 pages. Line numbers are present on all pages. Visual inspection of the document indicates that font sizes, line spacing, and margins adhere to the ICLR 2025 style guide specifications, with no apparent 'space-cheating' or extensive use of small fonts outside of acceptable areas like figures, tables, or footnotes. No explicit Ethics Statement or Reproducibility Statement sections were found to evaluate against a page limit.",False,,False,,,,False,,False,,,,,,False,,False,,,,,,False,,False
data/iclr/data/submission_GCSr6QCCwF,1.0,1.0,0.8773363024350193,39936,2053,58.86217331886292,,,False,,,,,,False,,False,,False,,,,False,,False,"The paper proposes MIMOUDIFF: A UNIFIED MULTI-SOURCE DATA FUSION FRAMEWORK VIA MIMO UNET AND REFINED DIFFUSION FOR PRECIPITATION NOWCASTING. It leverages deep learning techniques, including RNN-based, CNN-based, ConvRNN-based models, diffusion models, attention-guided multi-source fusion, and a spatio-temporal sequence prediction module with an RST-Unet architecture for precipitation nowcasting.",,,,,False,"The paper proposes MIMOUDIFF: A UNIFIED MULTI-SOURCE DATA FUSION FRAMEWORK VIA MIMO UNET AND REFINED DIFFUSION FOR PRECIPITATION NOWCASTING. It leverages deep learning techniques, including RNN-based, CNN-based, ConvRNN-based models, diffusion models, attention-guided multi-source fusion, and a spatio-temporal sequence prediction module with an RST-Unet architecture for precipitation nowcasting.",True,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 11. The 'Abstract' begins on page 1, and the '5 CONCLUSION' section ends on page 11, immediately followed by 'REFERENCES'.",True,"The main content of the paper (Abstract through Conclusion) spans 11 pages (pages 1-11). The '5 CONCLUSION' section ends on page 11, line 554, and the 'REFERENCES' section begins on page 11, line 555. The ICLR 2025 style guide (iclr2025_conference.pdf, page 2, line 060) specifies a strict upper limit of 10 pages for the main text.",,,True,"The main content of the paper (Abstract through Conclusion) spans 11 pages (pages 1-11). The '5 CONCLUSION' section ends on page 11, line 554, and the 'REFERENCES' section begins on page 11, line 555. The ICLR 2025 style guide (iclr2025_conference.pdf, page 2, line 060) specifies a strict upper limit of 10 pages for the main text.",True
data/iclr/data/submission_UpPXWd9SBk,0.0,0.0,0.0,45200,3335,94.22925591468812,,,False,,,,,,False,,False,,,,,,False,,False,"The detection of foreground targets on airport surface is the foundation of airport surveillance applications. However, effective algorithms and specialized benchmarks are still lacking in this area. Based on this fact, we propose an Airport Foreground Target Detection dataset (AFTD), which contains the three most important foreground targets moving on the airport surface: airplane, vehicle, and person. Through self collection and collection of web images, we have obtained a total of over 200000 images and filtered out 10050 images based on diversity principles to form the AFTD dataset, which includes a total of 26968 airplane instances, 24759 vehicle instances, and 5064 person instances. AFTD includes a variety of changes of these targets, such as super multi-scale, multi-level occlusion and viewangle changes, etc. In addition, we further illustrate the challenges posed by AFTD to existing algorithms through statistical analysis and detailed experiments, and discuss how to solve these challenges in the airport surveillance scenario.",,,,,False,"The detection of foreground targets on airport surface is the foundation of airport surveillance applications. However, effective algorithms and specialized benchmarks are still lacking in this area. Based on this fact, we propose an Airport Foreground Target Detection dataset (AFTD), which contains the three most important foreground targets moving on the airport surface: airplane, vehicle, and person. Through self collection and collection of web images, we have obtained a total of over 200000 images and filtered out 10050 images based on diversity principles to form the AFTD dataset, which includes a total of 26968 airplane instances, 24759 vehicle instances, and 5064 person instances. AFTD includes a variety of changes of these targets, such as super multi-scale, multi-level occlusion and viewangle changes, etc. In addition, we further illustrate the challenges posed by AFTD to existing algorithms through statistical analysis and detailed experiments, and discuss how to solve these challenges in the airport surveillance scenario.",False,"The main_paper.pdf submission adheres to all specified formatting and layout guidelines. No violations were detected regarding page limits, statement limits, line numbers, or margins/spacing.",False,"The document, which serves as the ICLR 2025 style guide, adheres to its own formatting requirements. The main content (Abstract through Conclusion) spans 10 pages (pages 1-10), which is within the 6-10 page limit. Line numbers are present on all pages. There are no explicit Ethics or Reproducibility statements. Visual inspection confirms that margins, font sizes, and paragraph spacing are consistent with the specifications detailed within the document itself, indicating no 'space-cheating' or margin abuse.",False,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages. This falls within the allowed page limit of 6-10 pages. Line numbers are present in the left margin on all pages. No explicit Ethics or Reproducibility Statements were found. Visual inspection of the document's margins, font sizes, and paragraph spacing (e.g., 10pt type with 11pt vertical spacing, 1/2 line space between paragraphs, no indentation) indicates adherence to the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of smaller fonts in the main body.",False,"The main content of the paper (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages. This falls within the allowed page limit of 6-10 pages. Line numbers are present in the left margin on all pages. No explicit Ethics or Reproducibility Statements were found. Visual inspection of the document's margins, font sizes, and paragraph spacing (e.g., 10pt type with 11pt vertical spacing, 1/2 line space between paragraphs, no indentation) indicates adherence to the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of smaller fonts in the main body.",False
data/iclr/data/submission_PAzVN4EEkj,1.0,1.0,0.7922669980546885,1436961,2261,219.9200074672699,,,False,,,,,,False,,True,"Feihan Lit, Yifan Sunt, Weiye Zhao†, Rui Chen, Tianhao Wei & Changliu Liu * Robotics Institute Carnegie Mellon University Pittsburgh, PA 15213, USA {feihanl, yifansu2, weiyezha, ruic3, twei2, cliu6}@andrew.cmu.edu",,,,,True,"Feihan Lit, Yifan Sunt, Weiye Zhao†, Rui Chen, Tianhao Wei & Changliu Liu * Robotics Institute Carnegie Mellon University Pittsburgh, PA 15213, USA {feihanl, yifansu2, weiyezha, ruic3, twei2, cliu6}@andrew.cmu.edu",False,,False,,False,"Deep reinforcement learning (RL) excels in various control tasks, yet the absence of safety guarantees hampers its real-world applicability. In particular, explorations during learning usually results in safety violations, while the RL agent learns from those mistakes. On the other hand, safe control techniques ensure persistent safety satisfaction but demand strong priors on system dynamics, which is usually hard to obtain in practice. To address these problems, we present Safe Set Guided State-wise Constrained Policy Optimization (S-3PO), a pioneering algorithm generating state-wise safe optimal policies with zero training violations, i.e., learning without mistakes. S-3PO first employs a safety-oriented monitor with black-box dynamics to ensure safe exploration. It then enforces an ""imaginary"" cost for the RL agent to converge to optimal behaviors within safety constraints. S-3PO outperforms existing methods in high-dimensional robotics tasks, managing state-wise constraints with zero training violation. This innovation marks a significant stride towards real-world safe RL deployment.",False,"Deep reinforcement learning (RL) excels in various control tasks, yet the absence of safety guarantees hampers its real-world applicability. In particular, explorations during learning usually results in safety violations, while the RL agent learns from those mistakes. On the other hand, safe control techniques ensure persistent safety satisfaction but demand strong priors on system dynamics, which is usually hard to obtain in practice. To address these problems, we present Safe Set Guided State-wise Constrained Policy Optimization (S-3PO), a pioneering algorithm generating state-wise safe optimal policies with zero training violations, i.e., learning without mistakes. S-3PO first employs a safety-oriented monitor with black-box dynamics to ensure safe exploration. It then enforces an ""imaginary"" cost for the RL agent to converge to optimal behaviors within safety constraints. S-3PO outperforms existing methods in high-dimensional robotics tasks, managing state-wise constraints with zero training violation. This innovation marks a significant stride towards real-world safe RL deployment.",False,"The main paper (main_paper.pdf) consists of 10 pages of main content (Abstract through Conclusion and Future Prospectus), followed by References starting on page 10. The ICLR 2025 style guide specifies a strict upper limit of 10 pages for the main text. Line numbers are present on all pages in the left margin. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of smaller fonts in the main body text. Optional sections like Ethics Statements or Reproducibility Statements are not explicitly present in the main paper.",,,,,False,"The main paper (main_paper.pdf) consists of 10 pages of main content (Abstract through Conclusion and Future Prospectus), followed by References starting on page 10. The ICLR 2025 style guide specifies a strict upper limit of 10 pages for the main text. Line numbers are present on all pages in the left margin. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of smaller fonts in the main body text. Optional sections like Ethics Statements or Reproducibility Statements are not explicitly present in the main paper.",True
data/iclr/data/submission_bqLx5Rs8Tc,0.0,0.0,0.0,72333,2335,86.62782382965088,,,False,,,,,,False,,False,,,,,,False,,False,,False,,False,,False,,False,"The document adheres to all specified formatting and layout guidelines. Line numbers are present on every page. The main content (Abstract through Conclusion) spans 10 pages, which is within the 6-10 page limit. There are no explicit Ethics or Reproducibility Statements exceeding one page. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of smaller fonts in the main body text.",False,"The main content (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages, adhering to the 6-10 page limit. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing indicates adherence to the ICLR 2025 style guide, consistent with the provided 'iclr2025_conference.pdf' as an example of correct formatting. No explicit Ethics or Reproducibility statements exceeding one page were found.",,,False,"The main content (Abstract through Conclusion) spans from page 1 to page 10, which is exactly 10 pages, adhering to the 6-10 page limit. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing indicates adherence to the ICLR 2025 style guide, consistent with the provided 'iclr2025_conference.pdf' as an example of correct formatting. No explicit Ethics or Reproducibility statements exceeding one page were found.",False
data/iclr/data/submission_GE0UKtI6Lf,0.0,0.0,0.0,659647,2285,212.0872614383697,,,False,,,,,,False,,False,,,,,,False,,False,"The paper is titled ""WALL-E: WORLD ALIGNMENT BY RULE LEARNING IMPROVES WORLD MODEL-BASED LLM AGENTS"". The abstract states: ""Can large language models (LLMs) directly serve as powerful world models for model-based agents? While the gaps between the prior knowledge of LLMs and the specified environment's dynamics do exist, our study reveals that the gaps can be bridged by aligning an LLM with its deployed environment and such “world alignment” can be efficiently achieved by rule learning on LLMs."" It proposes a ""neurosymbolic approach to learn these rules gradient-free through LLMs, by inducing, updating, and pruning rules based on comparisons of agent-explored trajectories and world model predictions."" It mentions ""embodied LLM agent “WALL-E"" is built upon model-predictive control (MPC)."" It also discusses ""applications of deep learning in vision, audio, speech, natural language processing, robotics, neuroscience, or any other field"" specifically mentioning ""open-world challenges in Minecraft and ALFWorld"". The abstract, introduction, and methodology sections are written in clear, academic English with appropriate technical terminology and standard mathematical notation.",,,,,False,"The paper is titled ""WALL-E: WORLD ALIGNMENT BY RULE LEARNING IMPROVES WORLD MODEL-BASED LLM AGENTS"". The abstract states: ""Can large language models (LLMs) directly serve as powerful world models for model-based agents? While the gaps between the prior knowledge of LLMs and the specified environment's dynamics do exist, our study reveals that the gaps can be bridged by aligning an LLM with its deployed environment and such “world alignment” can be efficiently achieved by rule learning on LLMs."" It proposes a ""neurosymbolic approach to learn these rules gradient-free through LLMs, by inducing, updating, and pruning rules based on comparisons of agent-explored trajectories and world model predictions."" It mentions ""embodied LLM agent “WALL-E"" is built upon model-predictive control (MPC)."" It also discusses ""applications of deep learning in vision, audio, speech, natural language processing, robotics, neuroscience, or any other field"" specifically mentioning ""open-world challenges in Minecraft and ALFWorld"". The abstract, introduction, and methodology sections are written in clear, academic English with appropriate technical terminology and standard mathematical notation.",False,"The provided document is the ICLR 2025 formatting instructions (iclr2025_conference.pdf) itself, not a research paper submission. It serves as the style guide. The main content of this document (from 'ABSTRACT' to '7 PREPARING POSTSCRIPT OR PDF FILES') spans 6 pages, which is within the specified 6-10 page limit for main text. Line numbers are present in the left margin on all pages. There are no Ethics or Reproducibility Statements to evaluate against a page limit. The document's layout, including margins, font sizes, and spacing for headings, body text, figures, and tables, appears to conform to the rules it describes within its own text (e.g., page 1, lines 048-053; page 2, lines 065-075). No evidence of 'space-cheating' or extensive use of small fonts for main body text was found.",,,,,False,"The provided document is the ICLR 2025 formatting instructions (iclr2025_conference.pdf) itself, not a research paper submission. It serves as the style guide. The main content of this document (from 'ABSTRACT' to '7 PREPARING POSTSCRIPT OR PDF FILES') spans 6 pages, which is within the specified 6-10 page limit for main text. Line numbers are present in the left margin on all pages. There are no Ethics or Reproducibility Statements to evaluate against a page limit. The document's layout, including margins, font sizes, and spacing for headings, body text, figures, and tables, appears to conform to the rules it describes within its own text (e.g., page 1, lines 048-053; page 2, lines 065-075). No evidence of 'space-cheating' or extensive use of small fonts for main body text was found.",False
data/iclr/data/submission_9d6RcViazd,0.0,0.0,0.0,52011,2664,65.2786180973053,,,False,,,,,,False,,False,,,,,,False,,False,"The submission focuses on ""robust language modeling method for text-to-speech (TTS) synthesis"" using ""chain-of-thought (CoT) prompting"" and ""codec language models."" It involves ""representation learning"" for ""speech tokens"" and applies ""deep learning"" techniques (Transformers, LMs) to ""audio"" and ""speech"" processing. This aligns directly with ICLR's scope for applications of deep learning in audio/speech/NLP and representation learning.",False,"We present RALL-E, a robust language modeling method for text-to-speech (TTS) synthesis. While previous codec language modeling methods have demonstrated impressive performance in zero-shot TTS, they often struggle with robustness issues... RALL-E addresses these issues through chain-of-thought (CoT) prompting, which breaks the task into simpler steps to improve the stability of TTS. First, RALL-E predicts prosody tokens (pitch and duration) from the input text and uses them as intermediate conditions to guide the prediction of speech tokens in a CoT manner. Second, RALL-E utilizes the predicted duration prompt to guide the computing of self-attention weights in Transformer, enforcing the model to focus on the corresponding phonemes and prosody tokens during speech token prediction.",,,False,"We present RALL-E, a robust language modeling method for text-to-speech (TTS) synthesis. While previous codec language modeling methods have demonstrated impressive performance in zero-shot TTS, they often struggle with robustness issues... RALL-E addresses these issues through chain-of-thought (CoT) prompting, which breaks the task into simpler steps to improve the stability of TTS. First, RALL-E predicts prosody tokens (pitch and duration) from the input text and uses them as intermediate conditions to guide the prediction of speech tokens in a CoT manner. Second, RALL-E utilizes the predicted duration prompt to guide the computing of self-attention weights in Transformer, enforcing the model to focus on the corresponding phonemes and prosody tokens during speech token prediction.",False,"The main content (Abstract through Conclusions) spans 9 pages (pages 1-9), which is within the allowed 6-10 page limit. Line numbers are present on all pages in the left margin. There are no explicit Ethics or Reproducibility Statements. Visual inspection of the document's margins, font sizes, and spacing (including headings, abstract, and tables) indicates adherence to the ICLR 2025 style guide specifications, such as 10pt type with 11pt vertical spacing for main text, 1.5 inch left margin, and 1 inch top margin.",False,"The main content (Abstract through Conclusions) spans 9 pages, which is within the 6-10 page limit. Line numbers are present on all pages. Margins, font sizes, and paragraph spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body. No separate Ethics or Reproducibility Statements exceeding one page were found.",False,"The main content (Abstract through Conclusions) spans 9 pages (pages 1-9), which is within the 6-10 page limit. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing for main text, headings, figures, and tables indicates adherence to the ICLR 2025 style guide. There are no explicit Ethics or Reproducibility statements exceeding one page.",False,"The main content (Abstract through Conclusions) spans 9 pages (pages 1-9), which is within the 6-10 page limit. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing for main text, headings, figures, and tables indicates adherence to the ICLR 2025 style guide. There are no explicit Ethics or Reproducibility statements exceeding one page.",False
data/iclr/data/submission_GjSWkSaNTQ,1.0,1.0,1.0,76499,2328,165.04098677635193,,,False,,False,,False,,False,,False,,,,,,False,,False,,False,"The paper introduces CLAVER, a Contrastive Language-Action Video Learner, which adapts CLIP for video action recognition using a novel Kronecker mask attention for temporal modeling and interpretive prompts generated by large language models for verb comprehension. This falls under representation learning and applications of deep learning in vision and natural language processing.",False,,False,"The paper introduces CLAVER, a Contrastive Language-Action Video Learner, which adapts CLIP for video action recognition using a novel Kronecker mask attention for temporal modeling and interpretive prompts generated by large language models for verb comprehension. This falls under representation learning and applications of deep learning in vision and natural language processing.",False,"The main content (Abstract through Conclusion) spans pages 1-10, which is exactly 10 pages. This falls within the allowed page limit of 6-10 pages for the main text. Line numbers are present on all pages. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body. Optional sections like 'Author Contributions' and 'Acknowledgments' are brief and do not exceed page limits for statements.",,,,,False,"The main content (Abstract through Conclusion) spans pages 1-10, which is exactly 10 pages. This falls within the allowed page limit of 6-10 pages for the main text. Line numbers are present on all pages. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body. Optional sections like 'Author Contributions' and 'Acknowledgments' are brief and do not exceed page limits for statements.",False
data/iclr/data/submission_ARhJbaAjyE,0.0,0.0,0.0,4003774,2872,248.76794028282168,,,True,"pku_file_path=""/workspace/work/aigc-user-workspace/zhaoweixiang/LLM_Unlearning/datasets/train/BeaverTails_100_14/train.json""",,,,,True,"pku_file_path=""/workspace/work/aigc-user-workspace/zhaoweixiang/LLM_Unlearning/datasets/train/BeaverTails_100_14/train.json""",True,"{ ""input_en"": ""Give three tips for staying healthy."", ""output"": """", ""input_zh"": ""给出三个保持健康的秘诀.\n"" }",,,,,True,"{ ""input_en"": ""Give three tips for staying healthy."", ""output"": """", ""input_zh"": ""给出三个保持健康的秘诀.\n"" }",False,"The submission's abstract, introduction, and methodology are clearly written and technically sound. For example, the abstract states: ""we propose LENS, a novel approach to enhance multilingual capabilities of LLMs by leveraging their internal language representation spaces. Specially, LENS operates by manipulating the hidden representations within the language-agnostic and language-specific subspaces from top layers of LLMs."" The introduction further elaborates on this, and the methodology section details the use of SVD for subspace probing and specific loss functions (L1, L2, L3) for manipulation.",False,"Despite the growing global demand for large language models (LLMs) that serve users from diverse linguistic backgrounds, most cutting-edge LLMs remain predominantly English-centric. This creates a performance gap across languages, restricting access to advanced AI services for non-English speakers. Current methods to enhance multilingual capabilities largely rely on data-driven post-training techniques, such as multilingual instruction tuning or continual pre-training. However, these approaches encounter significant challenges, including the scarcity of high-quality multilingual datasets and the limited enhancement of multilingual capabilities. They often suffer from off-target issues and catastrophic forgetting of central language abilities. To this end, we propose LENS, a novel approach to enhance multilingual capabilities of LLMs by leveraging their internal language representation spaces. Specially, LENS operates by manipulating the hidden representations within the language-agnostic and language-specific subspaces from top layers of LLMs.",,,False,"Despite the growing global demand for large language models (LLMs) that serve users from diverse linguistic backgrounds, most cutting-edge LLMs remain predominantly English-centric. This creates a performance gap across languages, restricting access to advanced AI services for non-English speakers. Current methods to enhance multilingual capabilities largely rely on data-driven post-training techniques, such as multilingual instruction tuning or continual pre-training. However, these approaches encounter significant challenges, including the scarcity of high-quality multilingual datasets and the limited enhancement of multilingual capabilities. They often suffer from off-target issues and catastrophic forgetting of central language abilities. To this end, we propose LENS, a novel approach to enhance multilingual capabilities of LLMs by leveraging their internal language representation spaces. Specially, LENS operates by manipulating the hidden representations within the language-agnostic and language-specific subspaces from top layers of LLMs.",False,"No violations were found in the provided main_paper.pdf based on the ICLR 2025 style guide. The main text adheres to the page limit, line numbers are present, and margins/spacing/font sizes appear consistent with the guidelines, with acceptable smaller fonts used for figures, tables, and references.",False,"The document adheres to all specified formatting and layout guidelines, including page limits, statement limits, margins, spacing, and line numbering. Main content is 10 pages, within the 6-10 page limit. Line numbers are present. Margins and spacing appear standard. No extensive use of small fonts for main body text or narrowed margins was observed. No ethics or reproducibility statements exceeded one page.",False,"No specific violations were found regarding page limits, statement limits, margins/spacing, or line numbers based on the provided ICLR 2025 style guide and the submission's main paper.",False,"The document adheres to all specified formatting and layout guidelines, including page limits, statement limits, margins, spacing, and line numbering. Main content is 10 pages, within the 6-10 page limit. Line numbers are present. Margins and spacing appear standard. No extensive use of small fonts for main body text or narrowed margins was observed. No ethics or reproducibility statements exceeded one page.",False
