directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,policy_check_result_1,policy_check_evidence_snippet_1,policy_check_result_best,policy_check_evidence_snippet_best,anonymity_check_evidence_snippet_1,anonymity_check_result_best,anonymity_check_evidence_snippet_best,formatting_check_result_1,formatting_check_evidence_snippet_1,formatting_check_result_best,formatting_check_evidence_snippet_best,scope_check_result_1,anonymity_check_result_1,scope_check_evidence_snippet_1,scope_check_result_best,scope_check_evidence_snippet_best,token_error_occurred
data/iclr/data/submission_eIK4ojL2QM,1.0,1.0,0.5608637762261662,27001,1864,198.94940733909607,,,False,,False,,"We initially proposed a novel method for constructing real networks from the complex domain using the Cauchy integral formula in Li et al. (2024); Zhang et al. (2024)... (Page 1, line 023)
Inspired by the mathematical precision of the Cauchy integral theorem, Li et al. (2024) introduced the XNet architecture... (Page 1, line 051)",True,"We initially proposed a novel method for constructing real networks from the complex domain using the Cauchy integral formula in Li et al. (2024); Zhang et al. (2024)... (Page 1, line 023)
Inspired by the mathematical precision of the Cauchy integral theorem, Li et al. (2024) introduced the XNet architecture... (Page 1, line 051)",False,"The main content (Abstract through Section 4) spans exactly 10 pages (pages 1-10), which is within the 6-10 page limit. References and Appendix are on subsequent pages. Line numbers are present on all pages in the left margin. Visual inspection of the PDF indicates that margins, font sizes, and paragraph spacing adhere to the ICLR 2025 style guide, with no apparent 'space-cheating' or extensive use of small fonts in the main body. No explicit Ethics Statement or Reproducibility Statement sections were found to exceed their page limit.",False,"The main content (Abstract through Section 4) spans exactly 10 pages (pages 1-10), which is within the 6-10 page limit. References and Appendix are on subsequent pages. Line numbers are present on all pages in the left margin. Visual inspection of the PDF indicates that margins, font sizes, and paragraph spacing adhere to the ICLR 2025 style guide, with no apparent 'space-cheating' or extensive use of small fonts in the main body. No explicit Ethics Statement or Reproducibility Statement sections were found to exceed their page limit.",False,True,,False,,False
data/iclr/data/submission_F27YbvbgKy,1.0,1.0,1.0,37159,1496,37.66863799095154,,,False,,False,,,False,,False,"The main content (Abstract through Conclusion/Reproducibility Statement) spans exactly 10 pages (from page 1 to page 10), which adheres to the strict upper limit of 10 pages for the main text. The Reproducibility Statement on page 10 is less than one page. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing indicates adherence to the ICLR 2025 style guide, with no apparent 'space-cheating' or extensive use of smaller fonts in the main body.",False,"The main content (Abstract through Conclusion/Reproducibility Statement) spans exactly 10 pages (from page 1 to page 10), which adheres to the strict upper limit of 10 pages for the main text. The Reproducibility Statement on page 10 is less than one page. Line numbers are present on all pages. Visual inspection of margins, font sizes, and spacing indicates adherence to the ICLR 2025 style guide, with no apparent 'space-cheating' or extensive use of smaller fonts in the main body.",False,False,"The submission's abstract, introduction, and methodology clearly describe a novel graph-based framework for topology-preserving image segmentation, including a new loss function and topological guarantees. It applies deep learning techniques to vision tasks (image segmentation) and involves optimization for representation learning.",False,"The submission's abstract, introduction, and methodology clearly describe a novel graph-based framework for topology-preserving image segmentation, including a new loss function and topological guarantees. It applies deep learning techniques to vision tasks (image segmentation) and involves optimization for representation learning.",False
data/iclr/data/submission_3QoXfx1Tgw,1.0,1.0,1.0,49650,1734,41.68618130683899,,,False,,False,,,False,,False,"The document adheres to all specified formatting and layout rules. No violations were found regarding page limits, statement limits, line numbers, or margins/spacing.",False,"The document adheres to all specified formatting and layout rules. No violations were found regarding page limits, statement limits, line numbers, or margins/spacing.",False,False,"We study the computational limits of Low-Rank Adaptation (LoRA) for fine-tuning transformer-based models using fine-grained complexity theory. Our key observation is that the existence of low-rank decompositions within the gradient computation of LoRA adaptation leads to possible algorithmic speedup. This allows us to (i) identify a phase transition behavior of efficiency assuming the Strong Exponential Time Hypothesis (SETH), and (ii) prove the existence of nearly linear algorithms by controlling the LoRA update computation term by term.",False,"We study the computational limits of Low-Rank Adaptation (LoRA) for fine-tuning transformer-based models using fine-grained complexity theory. Our key observation is that the existence of low-rank decompositions within the gradient computation of LoRA adaptation leads to possible algorithmic speedup. This allows us to (i) identify a phase transition behavior of efficiency assuming the Strong Exponential Time Hypothesis (SETH), and (ii) prove the existence of nearly linear algorithms by controlling the LoRA update computation term by term.",True
data/iclr/data/submission_mhyl7HhNM5,0.0,0.0,0.0,38270,1681,34.71072626113892,,,False,,False,,"human experts, which are two of this paper's authors, fully familiar with the task",True,"human experts, which are two of this paper's authors, fully familiar with the task",False,"The document adheres to all specified formatting and layout guidelines. Line numbers are present on all pages. The main text (Abstract through Discussion) is exactly 10 pages, which is within the 6-10 page limit. The Ethics Statement and Reproducibility Statement are each less than one page. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, and there is no evidence of 'space-cheating' or extensive use of small fonts in the main body.",False,"The document adheres to all specified formatting and layout guidelines. Line numbers are present on all pages. The main text (Abstract through Discussion) is exactly 10 pages, which is within the 6-10 page limit. The Ethics Statement and Reproducibility Statement are each less than one page. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, and there is no evidence of 'space-cheating' or extensive use of small fonts in the main body.",False,True,,False,,False
data/iclr/data/submission_TkbjqexD8w,1.0,1.0,1.0,24721,1388,28.51611042022705,,,False,,False,,,False,,False,"The main paper adheres to all specified formatting and layout guidelines. No evidence of page limit, statement limit, line number, or margin/spacing violations was found.",False,"The main paper adheres to all specified formatting and layout guidelines. No evidence of page limit, statement limit, line number, or margin/spacing violations was found.",False,False,,False,,True
data/iclr/data/submission_JKMoLnT1wZ,1.0,1.0,1.0,23787,1608,20.93428039550781,,,False,,False,,,False,,False,"The main content of the paper (Abstract through Limitations) spans 10 pages (pages 1-10). The style guide specifies a strict upper limit of 10 pages for the main text, which this submission adheres to. Line numbers are present on all pages in the left margin. No explicit Ethics or Reproducibility statements were found that would be subject to a page limit. Visual inspection of the document indicates that margins, spacing, and font sizes in the main body text adhere to the specified guidelines (10pt type with 11pt vertical spacing, 1.5 inch left margin, 5.5 inch text width, 9 inch text length). Smaller fonts are appropriately used for footnotes, figure captions, and the references section, which is permitted.",False,"The main content of the paper (Abstract through Limitations) spans 10 pages (pages 1-10). The style guide specifies a strict upper limit of 10 pages for the main text, which this submission adheres to. Line numbers are present on all pages in the left margin. No explicit Ethics or Reproducibility statements were found that would be subject to a page limit. Visual inspection of the document indicates that margins, spacing, and font sizes in the main body text adhere to the specified guidelines (10pt type with 11pt vertical spacing, 1.5 inch left margin, 5.5 inch text width, 9 inch text length). Smaller fonts are appropriately used for footnotes, figure captions, and the references section, which is permitted.",False,False,,False,,False
data/iclr/data/submission_NAlpAxxLAT,1.0,1.0,1.0,198860,2050,66.5672287940979,,,True,"## Add MASK for CN_reveal：- While move action`[0-4]` choose `[4]`, reveal action will have mask: `[1, 1, 1, 1, 0]`,- While move action`[0-4]` choose `[0,1,2,3]`, reveal action will have mask: `[0, 0, 0, 0, 1]`,- `Do mask need gradient?`",True,"## Add MASK for CN_reveal：- While move action`[0-4]` choose `[4]`, reveal action will have mask: `[1, 1, 1, 1, 0]`,- While move action`[0-4]` choose `[0,1,2,3]`, reveal action will have mask: `[0, 0, 0, 0, 1]`,- `Do mask need gradient?`",,False,,False,"The main content (Abstract through Conclusion and Future Work) spans from page 1 to page 10, which is exactly 10 pages, adhering to the page limit. The Reproducibility Statement is less than one page. Line numbers are present on all pages. Margins, spacing, and font sizes appear to conform to the ICLR 2025 style guide specifications, with no evidence of 'space-cheating' or extensive use of small fonts in the main body.",False,"The main content (Abstract through Conclusion and Future Work) spans from page 1 to page 10, which is exactly 10 pages, adhering to the page limit. The Reproducibility Statement is less than one page. Line numbers are present on all pages. Margins, spacing, and font sizes appear to conform to the ICLR 2025 style guide specifications, with no evidence of 'space-cheating' or extensive use of small fonts in the main body.",False,False,"Effective communication is an essential component in collaborative multi-agent systems. Situations where explicit messaging is not feasible have been common in human society throughout history, which motivate the study of implicit communication. Previous works on learning implicit communication mostly rely on theory of mind (ToM), where agents infer the mental states and intentions of others by interpreting their actions. However, ToM-based methods become less effective in making accurate inferences in complex tasks. In this work, we propose the Implicit Channel Protocol (ICP) framework, which allows agents to construct implicit communication channels similar to the explicit ones. ICP leverages a subset of actions, denoted as the scouting actions, and a mapping between information and these scouting actions that encodes and decodes the messages. We propose training algorithms for agents to message and act, including learning with a randomly initialized information map and with a delayed information map. The efficacy of ICP has been tested on the tasks of Guessing Number, Revealing Goals, and Hanabi, where ICP significantly outperforms baseline methods through more efficient information transmission.",False,"Effective communication is an essential component in collaborative multi-agent systems. Situations where explicit messaging is not feasible have been common in human society throughout history, which motivate the study of implicit communication. Previous works on learning implicit communication mostly rely on theory of mind (ToM), where agents infer the mental states and intentions of others by interpreting their actions. However, ToM-based methods become less effective in making accurate inferences in complex tasks. In this work, we propose the Implicit Channel Protocol (ICP) framework, which allows agents to construct implicit communication channels similar to the explicit ones. ICP leverages a subset of actions, denoted as the scouting actions, and a mapping between information and these scouting actions that encodes and decodes the messages. We propose training algorithms for agents to message and act, including learning with a randomly initialized information map and with a delayed information map. The efficacy of ICP has been tested on the tasks of Guessing Number, Revealing Goals, and Hanabi, where ICP significantly outperforms baseline methods through more efficient information transmission.",False
data/iclr/data/submission_K1G8UKcEBO,1.0,1.0,1.0,54835,1782,33.99032521247864,,,False,,False,,,False,,False,"The document adheres to all specified formatting and layout guidelines. Line numbers are present on every page. The main content (Abstract through Conclusion/Discussion, including figures and tables within these sections) spans exactly 10 pages, which is within the allowed limit. No explicit Ethics or Reproducibility Statements are present. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body text.",False,"The document adheres to all specified formatting and layout guidelines. Line numbers are present on every page. The main content (Abstract through Conclusion/Discussion, including figures and tables within these sections) spans exactly 10 pages, which is within the allowed limit. No explicit Ethics or Reproducibility Statements are present. Margins, font sizes, and spacing appear consistent with the ICLR 2025 style guide, with no evidence of 'space-cheating' or extensive use of small fonts in the main body text.",False,False,,False,,False
data/iclr/data/submission_7bwE5MJAVJ,0.0,1.0,0.0,38147,1434,29.082319736480716,,,False,,False,,,False,,True,"The provided main_paper.pdf does not include line numbers in the left margin. The ICLR 2025 style guide (iclr2025_conference.pdf, page 1, line 027) explicitly states: ""Please note that we have introduced automatic line number generation into the style file for LaTeXe. This is to help reviewers refer to specific lines of the paper when they make their comments.""",True,"The provided main_paper.pdf does not include line numbers in the left margin. The ICLR 2025 style guide (iclr2025_conference.pdf, page 1, line 027) explicitly states: ""Please note that we have introduced automatic line number generation into the style file for LaTeXe. This is to help reviewers refer to specific lines of the paper when they make their comments.""",False,False,,False,,False
data/iclr/data/submission_CTLieyrNZr,1.0,1.0,1.0,30015,1710,43.61522841453552,,,False,,False,,,False,,False,"The main content (Abstract through Conclusion) spans exactly 10 pages (page 1 to page 10). Line numbers are present on all pages. No extensive use of small fonts or narrowed margins was detected in the main body. The document adheres to the specified font sizes, line spacing, and margin requirements as outlined in the ICLR 2025 style guide.",False,"The main content (Abstract through Conclusion) spans exactly 10 pages (page 1 to page 10). Line numbers are present on all pages. No extensive use of small fonts or narrowed margins was detected in the main body. The document adheres to the specified font sizes, line spacing, and margin requirements as outlined in the ICLR 2025 style guide.",False,False,,False,,False
