directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,token_error_occurred
data/iclr/data/submission_JGt14kjxB2,0.0,0.0,0.0,6972,197,17.43484854698181,,,False
data/iclr/data/submission_2924nrgHce,1.0,1.0,1.0,7746,189,43.78946232795715,,,False
data/iclr/data/submission_7bwE5MJAVJ,0.0,1.0,0.0,7746,268,17.70731282234192,,,True
data/iclr/data/submission_Uc2P6WIgoo,0.0,0.0,0.0,6972,153,17.971474647521973,,,False
data/iclr/data/submission_5KRxLvYLlM,0.0,0.0,0.0,15744,437,39.87723183631897,,,True
data/iclr/data/submission_1KRM3igwn1,0.0,0.0,0.0,9036,316,21.88251805305481,,,False
data/iclr/data/submission_ReKrTbRfJt,1.0,1.0,0.6409395925291299,4134,396,20.053006410598755,,,False
data/iclr/data/submission_1poUSIGSCI,1.0,1.0,0.6155724588055477,5682,414,26.36730527877808,,,False
data/iclr/data/submission_cO01zqImBC,1.0,1.0,0.7487086554073565,4908,181,20.13123917579651,,,False
data/iclr/data/submission_mhyl7HhNM5,0.0,0.0,0.0,7746,150,14.63619613647461,,,False
data/iclr/data/submission_Vn23PakSbM,0.0,0.0,0.0,2844,169,15.461642503738403,,,False
data/iclr/data/submission_EGjTCIcSnW,1.0,1.0,0.8507767555720364,7488,125,16.998833656311035,,,False
data/iclr/data/submission_9d6RcViazd,1.0,1.0,0.7955983905466149,4650,156,15.135438203811646,,,False
data/iclr/data/submission_uiBLOcyTIA,1.0,1.0,0.7419168060451155,8004,210,13.642474889755247,,,False
data/iclr/data/submission_8sKXFvSCqA,1.0,1.0,0.7857139149588646,8262,142,15.564967155456545,,,False
data/iclr/data/submission_TIxiwxd4iD,0.0,0.0,0.0,2328,169,8.292154550552368,,,False
data/iclr/data/submission_Cody9WEwvN,0.0,0.0,0.0,6714,192,16.383726119995117,,,False
data/iclr/data/submission_eJVrwDE086,1.0,1.0,0.7013024377508044,5166,142,14.127449750900269,,,False
data/iclr/data/submission_IpLXuqmP0C,1.0,1.0,0.7333351529695802,133152,202,36.047934770584106,,,False
data/iclr/data/submission_jCtT1vUWb7,0.0,0.0,0.0,6714,189,42.131144523620605,,,False
data/iclr/data/submission_y9xNQZjUJM,0.0,1.0,0.0,4392,136,9.986114740371704,,,False
data/iclr/data/submission_s0gdfKcmoU,0.0,0.0,0.0,13458,334,20.031328201293945,,,False
data/iclr/data/submission_ijuesqStgU,0.0,0.0,0.0,6972,200,22.77505922317505,,,False
data/iclr/data/submission_viOk8hPJwb,0.0,0.0,0.0,8778,151,22.218255043029785,,,False
data/iclr/data/submission_YE5m1lkx4q,0.0,0.0,0.0,71912,170,27.224223136901852,,,False
data/iclr/data/submission_z5Th95xtBW,1.0,1.0,0.7588851696761609,6198,179,25.671192407608032,,,False
data/iclr/data/submission_CTLieyrNZr,0.0,0.0,0.0,5682,164,26.06857967376709,,,False
