directory_name,category_match,status_match,similarity_score,total_input_tokens,total_output_tokens,total_elapsed_time,error_status,error_message,token_error_occurred
data/iclr/data/submission_n6Gg0D2jWT,0.0,1.0,0.0,5840,158,15.825782775878906,,,False
data/iclr/data/submission_TIxiwxd4iD,0.0,0.0,0.0,1712,134,5.010543346405029,,,False
data/iclr/data/submission_MOCEoNsjEx,0.0,0.0,0.0,3776,116,9.015643119812012,,,True
data/iclr/data/submission_jCtT1vUWb7,1.0,1.0,1.0,6098,178,31.559529542922974,,,False
data/iclr/data/submission_eIK4ojL2QM,0.0,1.0,0.0,4292,172,91.59974336624146,,,True
data/iclr/data/submission_PAzVN4EEkj,1.0,1.0,0.7922669980546885,237799,179,53.514506340026855,,,False
data/iclr/data/submission_8sKXFvSCqA,1.0,1.0,0.7857139149588646,7646,150,15.327816486358644,,,False
data/iclr/data/submission_uiBLOcyTIA,1.0,1.0,0.7419168060451155,7388,191,11.887047290802002,,,False
data/iclr/data/submission_3E9oXcX8SH,0.0,0.0,0.0,5582,303,18.38198161125183,,,False
data/iclr/data/submission_GCSr6QCCwF,1.0,1.0,0.9063648891609976,3776,189,11.723552465438845,,,False
data/iclr/data/submission_sSWiZr8QU7,1.0,1.0,0.7717736100371286,6651,175,12.48484468460083,,,False
data/iclr/data/submission_weeGJ2NqfN,0.0,0.0,0.0,242364,165,40.20463871955872,,,False
data/iclr/data/submission_3x4vpeAclU,0.0,0.0,0.0,1712,129,5.153329849243164,,,False
data/iclr/data/submission_cIKQp84vqN,0.0,0.0,0.0,4846,184,19.97451663017273,,,False
data/iclr/data/submission_eJVrwDE086,1.0,1.0,0.6985753846970989,4550,127,10.43721628189087,,,False
data/iclr/data/submission_CTLieyrNZr,1.0,1.0,1.0,5066,212,22.04026818275452,,,False
data/iclr/data/submission_DXz1PDA0Wg,0.0,1.0,0.0,1712,207,5.615182399749756,,,False
data/iclr/data/submission_ChbCYd1uk5,1.0,1.0,1.0,102794,142,32.350576877593994,,,False
data/iclr/data/submission_F27YbvbgKy,0.0,0.0,0.0,6872,149,26.535175561904907,,,False
data/iclr/data/submission_zebxJxSHcD,0.0,0.0,0.0,8420,162,15.808292627334597,,,False
data/iclr/data/submission_2924nrgHce,0.0,0.0,0.0,7130,142,39.38373589515686,,,False
data/iclr/data/submission_s0gdfKcmoU,1.0,1.0,1.0,12842,133,10.42573618888855,,,False
data/iclr/data/submission_IpLXuqmP0C,1.0,1.0,0.7433433296988265,132536,159,45.99091339111328,,,False
data/iclr/data/submission_ARhJbaAjyE,0.0,0.0,0.0,568548,309,79.88331437110901,,,False
data/iclr/data/submission_1poUSIGSCI,1.0,1.0,0.7473450473238952,5066,218,20.697364330291748,,,False
data/iclr/data/submission_ReKrTbRfJt,0.0,1.0,0.0,3518,154,9.90960454940796,,,False
data/iclr/data/submission_MOt7TUucrK,1.0,1.0,1.0,10742,179,25.386611700057983,,,False
data/iclr/data/submission_O9W9DesXid,1.0,1.0,0.7204760207148606,6356,129,9.220826625823976,,,True
data/iclr/data/submission_3QoXfx1Tgw,0.0,0.0,0.0,9968,138,15.359940767288208,,,False
data/iclr/data/submission_viOk8hPJwb,0.0,0.0,0.0,8162,148,27.752365350723267,,,False
data/iclr/data/submission_seilwMD9m2,0.0,0.0,0.0,5840,201,12.085684061050417,,,False
data/iclr/data/submission_TkbjqexD8w,1.0,1.0,1.0,3776,219,17.203166246414185,,,False
data/iclr/data/submission_cO01zqImBC,1.0,1.0,0.8446273486845474,4292,137,14.98273539543152,,,False
data/iclr/data/submission_v4Bl6tfaaO,1.0,1.0,0.5442621157212,5582,148,17.26819157600403,,,False
data/iclr/data/submission_JKMoLnT1wZ,0.0,0.0,0.0,3518,377,16.096091747283936,,,False
data/iclr/data/submission_Cody9WEwvN,0.0,0.0,0.0,6098,132,10.16386651992798,,,False
